,state,regional_division,population,count_articles,art_per_pop
0,Vermont,New England,647064,45,6.954489818626905e-05
1,Wyoming,Mountain,581381,39,6.70816555752596e-05
2,South Dakota,West North Central,909824,56,6.155036578503095e-05
3,West Virginia,South Atlantic,1775156,105,5.914973106588942e-05
4,Montana,Mountain,1122867,55,4.898175830263067e-05
5,New Hampshire,New England,1395231,63,4.515381323952808e-05
6,Pennsylvania,Middle Atlantic,12972008,566,4.36324121909268e-05
7,Missouri,West North Central,6177957,263,4.257070743613139e-05
8,Alaska,Pacific,733583,31,4.225834022871304e-05
9,New Jersey,Middle Atlantic,9261699,379,4.0921217586535686e-05
